STATUS | wrapper  | 2014/06/11 09:37:12 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/11 09:37:12 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/11 09:37:12 | 
STATUS | wrapper  | 2014/06/11 09:37:13 | Launching a JVM...
INFO   | jvm 1    | 2014/06/11 09:37:13 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/11 09:37:14 | Server Socket aktivleshdi: ServerSocket[addr=0.0.0.0/0.0.0.0,localport=2014]
INFO   | jvm 1    | 2014/06/11 09:37:29 | ClientSocketle baglanti yaradildi: Socket[addr=/127.0.0.1,port=50252,localport=2014]
INFO   | jvm 1    | 2014/06/11 09:37:29 | Baglantini qebul eden thread: Thread-2  &  socket info: Socket[addr=/127.0.0.1,port=50252,localport=2014]
INFO   | jvm 1    | 2014/06/11 09:37:29 | ClientSocketden ServerSockete gonderilen request: 
INFO   | jvm 1    | 2014/06/11 09:37:29 | ServerSocketden ClientSockete gonderilen response: d41d8cd98f00b204e9800998ecf8427e
INFO   | jvm 1    | 2014/06/11 09:37:29 | Socket ishini bitirdi ve baglandi.. 
INFO   | jvm 1    | 2014/06/11 09:37:29 | 
INFO   | jvm 1    | 2014/06/11 09:37:34 | ClientSocketle baglanti yaradildi: Socket[addr=/127.0.0.1,port=50255,localport=2014]
INFO   | jvm 1    | 2014/06/11 09:37:34 | Baglantini qebul eden thread: Thread-3  &  socket info: Socket[addr=/127.0.0.1,port=50255,localport=2014]
INFO   | jvm 1    | 2014/06/11 09:37:34 | ClientSocketden ServerSockete gonderilen request: 44
INFO   | jvm 1    | 2014/06/11 09:37:34 | ServerSocketden ClientSockete gonderilen response: f7177163c833dff4b38fc8d2872f1ec6
INFO   | jvm 1    | 2014/06/11 09:37:34 | Socket ishini bitirdi ve baglandi.. 
INFO   | jvm 1    | 2014/06/11 09:37:34 | 
INFO   | jvm 1    | 2014/06/11 09:37:41 | ClientSocketle baglanti yaradildi: Socket[addr=/127.0.0.1,port=50257,localport=2014]
INFO   | jvm 1    | 2014/06/11 09:37:41 | Baglantini qebul eden thread: Thread-4  &  socket info: Socket[addr=/127.0.0.1,port=50257,localport=2014]
INFO   | jvm 1    | 2014/06/11 09:37:41 | ClientSocketden ServerSockete gonderilen request: 55
INFO   | jvm 1    | 2014/06/11 09:37:41 | ServerSocketden ClientSockete gonderilen response: b53b3a3d6ab90ce0268229151c9bde11
INFO   | jvm 1    | 2014/06/11 09:37:41 | Socket ishini bitirdi ve baglandi.. 
INFO   | jvm 1    | 2014/06/11 09:37:41 | 
